"산업별(1)","산업별(2)",시점,데이터
"음식료・담배","소계",2003.06,3300.9
"음식료・담배","소계",2003.07,3583
"음식료・담배","소계",2003.08,3637.3
"음식료・담배","소계",2003.09,3561.1
"음식료・담배","소계",2003.10,3639.1
"음식료・담배","소계",2003.11,3987
"음식료・담배","소계",2003.12,4033.2
"음식료・담배","소계",2004.01,3662.8
"음식료・담배","소계",2004.02,3679.3
"음식료・담배","소계",2004.03,3620.7
"음식료・담배","소계",2004.04,3438.8
"음식료・담배","소계",2004.05,3014.62
"음식료・담배","소계",2004.06,2813.87
"음식료・담배","소계",2004.07,2601.43
"음식료・담배","소계",2004.08,2791.01
"음식료・담배","소계",2004.09,2773.42
"음식료・담배","소계",2004.10,2769.09
"음식료・담배","소계",2004.11,2889.72
"음식료・담배","소계",2004.12,3039.15
"음식료・담배","소계",2005.01,4096.24
"음식료・담배","소계",2005.02,4500.13
"음식료・담배","소계",2005.03,4332.86
"음식료・담배","소계",2005.04,4163.32
"음식료・담배","소계",2005.05,4798.87
"음식료・담배","소계",2005.06,5529.55
"음식료・담배","소계",2005.07,6172.42
"음식료・담배","소계",2005.08,5384.13
"음식료・담배","소계",2005.09,6361.62
"음식료・담배","소계",2005.10,6196.04
"음식료・담배","소계",2005.11,6822.29
"음식료・담배","소계",2005.12,6348.32
"음식료・담배","소계",2006.01,6279.21
"음식료・담배","소계",2006.02,6135.17
"음식료・담배","소계",2006.03,5864.44
"음식료・담배","소계",2006.04,5600.54
"음식료・담배","소계",2006.05,5049.98
"음식료・담배","소계",2006.06,4905.02
"음식료・담배","소계",2006.07,4594.91
"음식료・담배","소계",2006.08,4656.29
"음식료・담배","소계",2006.09,4789.28
"음식료・담배","소계",2006.10,4557.18
"음식료・담배","소계",2006.11,4861.43
"음식료・담배","소계",2006.12,4858.27
"음식료・담배","소계",2007.01,4825.59
"음식료・담배","소계",2007.02,5037.27
"음식료・담배","소계",2007.03,5402.36
"음식료・담배","소계",2007.04,5744.55
"음식료・담배","소계",2007.05,6202.01
"음식료・담배","소계",2007.06,6169.47
"음식료・담배","소계",2007.07,6720.3
"음식료・담배","소계",2007.08,6484.56
"음식료・담배","소계",2007.09,5917.64
"음식료・담배","소계",2007.10,5266.56
"음식료・담배","소계",2007.11,4818.84
"음식료・담배","소계",2007.12,4946.14
"음식료・담배","소계",2008.01,4569.31
"음식료・담배","소계",2008.02,4897.42
"음식료・담배","소계",2008.03,4653.04
"음식료・담배","소계",2008.04,4614.06
"음식료・담배","소계",2008.05,4830.12
"음식료・담배","소계",2008.06,4537.06
"음식료・담배","소계",2008.07,4173.02
"음식료・담배","소계",2008.08,3714.58
"음식료・담배","소계",2008.09,3735.11
"음식료・담배","소계",2008.10,2707.34
"음식료・담배","소계",2008.11,2900.63
"음식료・담배","소계",2008.12,3248.19
"음식료・담배","소계",2009.01,3381.91
"음식료・담배","소계",2009.02,3081.2
"음식료・담배","소계",2009.03,3623.03
"음식료・담배","소계",2009.04,3986.31
"음식료・담배","소계",2009.05,4239.45
"음식료・담배","소계",2009.06,4034.01
"음식료・담배","소계",2009.07,4011.42
"음식료・담배","소계",2009.08,4321.31
"음식료・담배","소계",2009.09,4118.08
"음식료・담배","소계",2009.10,4235.83
"음식료・담배","소계",2009.11,4234.42
"음식료・담배","소계",2009.12,4483.63
"음식료・담배","소계",2010.01,4029.82
"음식료・담배","소계",2010.02,4096.9
"음식료・담배","소계",2010.03,4125.59
"음식료・담배","소계",2010.04,4394.04
"음식료・담배","소계",2010.05,4416
"음식료・담배","소계",2010.06,4628.22
"음식료・담배","소계",2010.07,4687.97
"음식료・담배","소계",2010.08,4912.37
"음식료・담배","소계",2010.09,4920.38
"음식료・담배","소계",2010.10,5221.42
"음식료・담배","소계",2010.11,5019.91
"음식료・담배","소계",2010.12,5584.41
"음식료・담배","소계",2011.01,5956.85
"음식료・담배","소계",2011.02,5456.54
"음식료・담배","소계",2011.03,5957.06
"음식료・담배","소계",2011.04,5770.13
"음식료・담배","소계",2011.05,5581.96
"음식료・담배","소계",2011.06,5503.78
"음식료・담배","소계",2011.07,5962.88
"음식료・담배","소계",2011.08,5328.36
"음식료・담배","소계",2011.09,4546.07
"음식료・담배","소계",2011.10,5030.89
"음식료・담배","소계",2011.11,4924.16
"음식료・담배","소계",2011.12,5448.25
"음식료・담배","소계",2012.01,5380.39
"음식료・담배","소계",2012.02,5856.64
"음식료・담배","소계",2012.03,5544.73
"음식료・담배","소계",2012.04,5172.62
"음식료・담배","소계",2012.05,4960
"음식료・담배","소계",2012.06,5163.55
"음식료・담배","소계",2012.07,4817.62
"음식료・담배","소계",2012.08,5363.88
"음식료・담배","소계",2012.09,5811.8
"음식료・담배","소계",2012.10,5898.41
"음식료・담배","소계",2012.11,5585.65
"음식료・담배","소계",2012.12,5360.66
"음식료・담배","소계",2013.01,5820.67
"음식료・담배","소계",2013.02,5861.08
"음식료・담배","소계",2013.03,6665.93
"음식료・담배","소계",2013.04,7622.12
"음식료・담배","소계",2013.05,7420.43
"음식료・담배","소계",2013.06,6759.14
"음식료・담배","소계",2013.07,6487.84
"음식료・담배","소계",2013.08,6062.73
"음식료・담배","소계",2013.09,6451.32
"음식료・담배","소계",2013.10,6880.84
"음식료・담배","소계",2013.11,7473.43
"음식료・담배","소계",2013.12,7124.44
"음식료・담배","소계",2014.01,7267.14
"음식료・담배","소계",2014.02,7629.98
"음식료・담배","소계",2014.03,7940.9
"음식료・담배","소계",2014.04,7830.44
"음식료・담배","소계",2014.05,7775.51
"음식료・담배","소계",2014.06,7754.48
"음식료・담배","소계",2014.07,7765.81
"음식료・담배","소계",2014.08,8369.65
"음식료・담배","소계",2014.09,8357.4
"음식료・담배","소계",2014.10,7767.06
"음식료・담배","소계",2014.11,7526
"음식료・담배","소계",2014.12,7517.81
"음식료・담배","소계",2015.01,7817.42
"음식료・담배","소계",2015.02,8405.13
"음식료・담배","소계",2015.03,9173.32
"음식료・담배","소계",2015.04,9963.7
"음식료・담배","소계",2015.05,10539.37
"음식료・담배","소계",2015.06,12437.24
"음식료・담배","소계",2015.07,11241.74
"음식료・담배","소계",2015.08,10387.5
"음식료・담배","소계",2015.09,10093.93
"음식료・담배","소계",2015.10,10280.13
"음식료・담배","소계",2015.11,9775.97
"음식료・담배","소계",2015.12,9880.15
"음식료・담배","소계",2016.01,10269.35
"음식료・담배","소계",2016.02,9819.17
"음식료・담배","소계",2016.03,10466.7
"음식료・담배","소계",2016.04,10764.1
"음식료・담배","소계",2016.05,11464.81
"음식료・담배","소계",2016.06,11003.79
"음식료・담배","소계",2016.07,10712
"음식료・담배","소계",2016.08,9983.49
"음식료・담배","소계",2016.09,10404.23
"음식료・담배","소계",2016.10,9452.46
"음식료・담배","소계",2016.11,9363.7
"음식료・담배","소계",2016.12,9871.34
