"시점",제조업,음식료・담배,섬유・의류,종이・목재,출판・매체복제,화학,제약,비금속,금속,기계・장비,일반전기전자,의료・정밀기기,운송장비・부품,기타제조업,건설,유통,운송,금융,오락・문화,기타서비스,통신방송서비스,통신방송서비스,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT H/W,IT H/W,IT H/W,IT H/W
"시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,통신서비스,방송서비스,인터넷,디지털컨텐츠,소프트웨어,컴퓨터서비스,통신장비,정보기기,반도체,IT부품
"2004.05",792.78,3014.62,504.24,406.63,708.31,1499.67,505.1,8314.53,967.03,575.35,1396.08,1434.46,1723.38,773.08,31.85,357.98,1097,261.11,809.61,1045.93,585.76,1148.48,3754.17,1090.04,344.69,244.03,395.45,233.74,818.92,1319.39
"2004.06",753.68,2813.87,462.35,394.5,754.4,1434.58,485.33,8240.76,916.2,544.97,1263.25,1381,1670.43,686.16,28.89,341.02,1143.5,242.58,831.07,970.71,552.51,1257.16,3790.16,1095.1,316.21,226.92,378.29,232.43,739.38,1244.15
"2004.07",680.95,2601.43,444.01,385.06,703.09,1316.63,484.14,6582.21,858.19,456.34,1111.98,1141.04,1633.88,650.7,28.32,315.39,1056.59,236.88,719.55,942.43,530.21,1052.77,3148.94,881.97,269.25,213.94,322.75,162.52,569.58,994.23
"2004.08",716.51,2791.01,454.2,393.88,665.93,1365.88,537.12,7623.48,895.18,498.2,1121.54,1188.47,1665.1,686.45,29.75,317.92,1184.52,245.94,793.05,1006.66,618.68,1253.55,3329.2,976.22,284.07,212.31,321.15,170.85,640.23,1086.77
"2004.09",729.61,2773.42,412.97,406.95,705.87,1427.31,636.99,7893.59,945.1,493.19,1069.36,1119.92,1726.72,678.91,37.3,336.66,1187.61,254.18,767.4,1069.55,632.48,1290.09,3478.1,1004.9,268.29,218.84,312.35,163.47,671.88,1062.49
"2004.10",728.02,2769.09,398.48,421.34,592.95,1410.39,707.82,8057.66,952.61,513.18,1007.45,978.16,1750.48,662.29,41.45,324.87,1362.63,247.97,776.66,1159.62,666.05,1467.6,3241.78,960.67,255.04,204.25,292.63,149.97,684.11,982.16
"2004.11",781.1,2889.72,400.48,559.46,574.66,1416.09,777.92,8137.21,1099.53,551.68,1111.68,1068.37,1748.78,672.79,39.17,355.87,1615.8,274.98,800.6,1178.77,652.93,1604.45,3211.63,1092.09,258.93,211.74,291.95,156.55,717.25,1056.28
"2004.12",811.33,3039.15,401.77,766.91,582.02,1453.4,975.96,8349.33,1086.59,543.7,1096.68,1076.92,1809.3,700.07,38.09,347.6,1694.48,283.84,757.19,1308.05,667.22,1804.21,3173.25,1113.96,269.08,206.68,290.13,166.18,725.06,1031.53
"2005.01",1067.48,4096.24,491.59,1047.45,717.55,1957.16,1395.15,10688.46,1413.25,730.53,1401.67,1428.27,2217.4,689.13,42.09,421.45,1948.22,435.85,801.05,1486.37,762.15,1983.72,3405.52,1370.33,370.54,312.11,447.96,194.24,918.89,1197.07
"2005.02",1178.55,4500.13,595.25,1204.48,830.72,2199.9,1567.28,11264.51,1704.16,744.97,1519.7,1483.9,2669.32,745.84,49.73,447.37,2262.4,447.92,804.58,1543.84,723.37,2277.48,3499.57,1336.19,399.73,293.08,443.36,187.05,989.85,1274.05
"2005.03",1084.19,4332.86,577.99,1219.07,908.31,2041.74,1432.91,11359.23,1515.67,646.05,1350.46,1269.75,2540.07,731.77,48.41,433.92,2044.05,397.29,741.46,1479.77,640.75,2294.05,3316.41,1240.04,329.33,274.14,388.68,159.64,857.77,1180.65
"2005.04",1046.13,4163.32,558.98,1177.53,858.23,2120.42,1393.36,10238.36,1453.16,608.87,1325.42,1155.34,2492.83,749.54,48.85,422.99,1860.07,333.49,711.37,1453.27,587.07,2309.76,3183.52,958.85,299.9,233.03,362.31,136.51,776.19,1080.28
"2005.05",1172.85,4798.87,589.34,1561.56,1185.12,2188.2,1716.34,10160.66,1559.6,667.8,1477.49,1234.15,2681.56,741.31,48.45,449.27,2044.72,405.42,779.8,1555.74,613.21,2337.84,3702.77,1101.23,374.73,280.52,408.56,142.07,872.31,1181.52
"2005.06",1273.55,5529.55,758.99,1360.96,1287.35,2322.43,2146,11833.46,1680.28,681.38,1463.81,1362.45,2763.79,891.61,53.38,532.91,2203.76,456.91,846.04,1781.74,630.21,2413.4,3847.96,1253.53,391.96,302.99,432.65,155.48,899.19,1180.86
"2005.07",1375.17,6172.42,841.11,1363.29,1363.62,2497.92,2336.33,12762.67,1855.92,685.95,1606.36,1611.82,3238.25,1051.16,58.6,614.6,2367.33,493.43,861.31,1827.73,713.37,2788.56,4456.77,1364.62,432.85,356.3,475.96,185.23,913.79,1191.39
"2005.08",1236.97,5384.13,851.19,1130.74,1138.21,2360.86,1907.8,12218.89,1804.94,600.71,1468.93,1451.73,3147.65,1016.98,59.3,549.67,2102.46,455.32,809.21,1671.4,690.19,2744.75,4600.18,1184.61,372.95,329,430.85,149.03,860.49,1108.56
"2005.09",1447.42,6361.62,904.69,1287.54,1245.67,2575.12,2576.85,13756.87,2194.98,671.28,1613.9,1595.81,4208.58,1081.08,61.15,663.78,2487.12,530.24,913.41,1850.87,728.2,3087.88,5695.81,1347.59,393.01,370.66,483.42,151.62,916.92,1231.42
"2005.10",1489.56,6196.04,960.57,1212.93,1343.29,2706.67,2618.22,14400.81,2314.02,686.4,1536.19,1600.92,4309.79,1389.19,75.12,665.71,2385.15,602.68,879.82,1976.42,685.36,3129.04,5882.31,1520.18,440.66,403.29,490.21,156.38,887.27,1235.32
"2005.11",1727.96,6822.29,1169.05,1379.11,1513.8,3271.18,2838.26,18841.29,2623.56,766.85,1792.28,2461.79,6027.21,1367.77,85.58,824.37,3018.07,752.5,1096.61,2279.53,787.79,3676.58,8163.89,1868.02,586.45,521.97,561.38,189.94,1090.4,1517.58
"2005.12",1538.67,6348.32,1217.52,1053.02,1405.72,3109.73,2055.57,15191.26,2376.74,698.33,1672.75,2084.43,5817.06,1189.45,75.86,797.29,3508.42,729.89,980.58,2244.94,794.63,4054.37,9129.86,1841.88,585.84,525.94,604.19,187.07,1114.79,1501.1
"2006.01",1518.64,6279.21,1220.41,1030.46,1390.5,3233.99,1918.28,17286.51,2378.43,674.84,1631.15,1983.1,5463.92,1302,78.41,774.36,3606.73,666.4,1035.06,2066.77,839.59,3889.88,9666.02,1670.74,542.75,544.7,573.74,195.36,1052.9,1434.39
"2006.02",1519.59,6135.17,1269.15,1275.39,1349.92,3195.74,2096.63,18011.41,2380.05,658.97,1630.76,1963.32,5003.24,1195.69,76.48,747.54,4253.67,668.06,1002.36,2187.78,859.05,3512.03,9289.5,1607.66,528.14,522.1,580.95,201.58,995.12,1398.12
"2006.03",1476.06,5864.44,1342.83,1199.25,1249.14,3076.7,1941.07,19112.44,2358.97,647.87,1535.33,1827.21,4917.36,1260.65,81.44,709.63,4324.5,632.08,982.76,2131.29,886.21,3255.09,9932.18,1713.53,454.31,534.47,536.11,199.49,924.2,1289.83
"2006.04",1467.16,5600.54,1441.21,1264.06,1221.82,3258.49,1724.43,16942.13,2484.83,649.71,1519.8,1713.19,4993.21,1112.88,89.49,717.22,4516.56,696.74,996.35,2204.64,1087.07,3343.31,11293.92,1774.94,472.13,526.68,517.02,175.11,956.9,1246.68
"2006.05",1342.81,5049.98,1196.04,1192.63,971.24,3017.78,1595.74,15995.3,2224.59,611.7,1422.56,1646.35,4663.84,1057.2,85.13,645.57,4620.95,585.43,935.49,2057.83,1217.99,2806.72,9929.99,1466.12,439.56,467.28,447.05,147.42,882.94,1163.53
"2006.06",1262.72,4905.02,1233.8,1152.23,883.98,2794.34,1575.96,13575.22,2161.68,558.55,1237.92,1541.13,4753.57,833.15,77.22,614.01,4032.73,549.84,877.58,2009.16,1139.92,2566.85,10370.34,1284.24,413.43,414.3,407.67,129.15,792.8,1067.12
"2006.07",1226.41,4594.91,1282.84,1083,812.51,2684.68,1532.29,12151.78,2243.67,542.25,1094.68,1510.9,4824.24,745.01,76.87,564.02,3663.75,533.32,818.77,1855.84,986.08,2563.65,9901.87,1164.64,386.97,402.04,384.02,107.29,730.31,1024.6
"2006.08",1259.97,4656.29,1150.09,1070.4,792.08,2784.62,1678.73,13350.48,2361.07,571.13,1090.03,1541.97,4734.23,682.44,76.97,574.56,3524.75,554.82,757.63,1916.32,1096.62,2563.53,8974.57,1242.62,390.42,437.14,431.79,110.05,770.18,1087.67
"2006.09",1316.03,4789.28,1179.13,1098.29,950.11,2920.47,1663.19,13181.51,2415.58,598.54,1137.34,1603.23,5000.61,935.77,81.65,581.74,3923.65,566.23,789.41,2046.92,1137.61,2728.63,9680,1273.11,401.78,447.71,469.21,114.86,822.01,1098.83
"2006.10",1302.72,4557.18,1142.51,1065.79,994.69,2964.62,1650.6,13106.07,2555.69,577,1073.7,1429,4882.88,919.44,84.1,584.51,3528.23,558.53,736.17,2041.8,1153.81,2759.73,9501.41,1181.7,401.94,431.74,436.43,109.38,786.55,1030.03
"2006.11",1408.76,4861.43,1462.95,1162.62,1186.95,3276.31,1887.85,14783.9,2793.03,582.04,1074.43,1492.4,4795.24,908.52,97.71,613.03,3800.87,535.15,739.69,2172.74,1169.81,2870.35,10326.48,1275.11,413.46,461.33,459.63,113.23,836.41,1071.45
"2006.12",1347.07,4858.27,1359.77,1147.41,1177.11,3154.43,1721.87,13834.25,2722.42,561.81,962.09,1390.26,4485.85,874.67,95.02,616.76,4075.85,470.58,735.08,2129.72,1117.41,2898.64,10572.37,1264.49,402.06,460.73,458.47,107.42,796.99,988.74
"2007.01",1291.98,4825.59,1298.31,1213.86,1029.28,3019.65,1557.32,13046.8,2611.65,540.83,978.61,1467.18,4241.76,820.78,89.85,592.63,3871.84,474.21,687.04,2019.11,1087.29,2551.68,10579.89,1110.24,379.05,452.16,412.72,100.93,724.97,914.82
"2007.02",1371.87,5037.27,1280.57,1242.15,977.62,3214.71,1596.32,13151.25,2861.7,588.02,992.7,1708.23,4660.77,876.33,95.72,602.01,3849.6,545.94,635.7,2068.69,1193.9,2572.91,11248.63,1093.03,392.29,444.19,419.7,97.83,769.38,925.54
"2007.03",1522.14,5402.36,1306.14,1338.7,997.41,3432.22,1696.34,14416.49,3266.36,683.69,1096.62,2157.71,5093.82,888.57,104.5,609.63,4226.27,589.24,659.41,2266.03,1215.31,2557.7,11851,1251.18,419.81,467.74,446.02,112.51,880.97,990.24
"2007.04",1602.78,5744.55,1219.52,1345.37,1099.92,3735.45,1691.98,15904.53,3740.34,659.48,1237.4,2284.16,5498.08,973.71,116.75,644.91,4519.09,619.65,679.01,2365.2,1206.52,2758.55,12382.15,1216.41,407.01,483.55,468.43,107.11,983.6,977.31
"2007.05",1827.91,6202.01,1187.56,1450.94,1120.68,4205.75,1953.16,18667.62,4843.45,720.06,1416.74,2627.9,6185.58,951.66,147.87,708.77,5240.65,719.17,737.97,2601.95,1221.87,2763.73,14162.86,1271.09,415.89,500.53,512.08,109.22,1094.55,1047.07
"2007.06",1920.58,6169.47,1241.19,1219.54,1198.4,4317.87,2102.12,24472.86,5427.11,722.67,1404.87,2376.96,7184.09,971.38,139.88,735.79,5319.36,761.99,864.65,2799.97,1223.84,3004.07,13801.55,1371.51,417.96,485.13,531.28,108.79,1227.43,1170.96
"2007.07",1992.68,6720.3,1304.69,1139.09,1131.48,4326.37,2101.51,30072.89,5820.19,745.81,1401.49,2295.04,7740.44,1092.49,149.36,749.77,6067.02,880.38,891.13,2950.67,1185.43,3179.96,14019.79,1472.72,418.52,514.48,561.94,108.49,1292.35,1218.31
